Time,Exercise,Reps,+lb,RIR,Rest (after set),
Mar-10 22:07,DB Lateral Raise,10,25,,,
Mar-10 22:11,DB Lateral Raise,10,25,,,
Mar-10 22:14,DB Lateral Raise,7,25,,,
Mar-10 22:16,Tricep Cable Extension,10,65,,,
Mar-10 22:19,Tricep Cable Extension,9,65,,,
Mar-10 22:23,Tricep Cable Extension,7,65,,,
Mar-12 17:03,Assisted Pull-ups,6,-100,,,
Mar-12 17:08,Assisted Pull-ups,5,-100,,,
Mar-12 17:29,Assisted Pull-ups,8,-110,,,
Mar-13 18:35,Bench Press,8,120,,,
Mar-13 18:38,Bench Press,8,120,,,
Mar-13 18:41,Bench Press,8,120,,,
Mar-13 18:46,Bench Press,10,120,,,
Mar-13 18:49,Machine Rear Delt Flyes,15,86,,,
Mar-13 18:52,Machine Rear Delt Flyes,14,100,,,
Mar-13 18:55,Machine Rear Delt Flyes,13,100,,,
Mar-13 18:57,Machine Flyes,10,100,,,
Mar-13 19:01,Machine Flyes,8,145,,,
Mar-13 19:05,Machine Flyes,8,145,,,
Mar-13 19:08,Machine Chest Press,5,65,,,
Mar-13 19:12,Tricep Cable Extension,10,57.5,,,
Mar-13 19:13,Tricep Cable Extension,12,65,,,
Mar-13 19:18,Tricep Cable Extension,10,65,,,
Mar-16 20:03,Machine Front Pull Down,9,80,,,
Mar-16 20:07,Machine Front Pull Down,10,80,,,
Mar-16 20:11,Machine Front Pull Down,12,80,,,
Mar-16 20:15,Assisted Pull-ups,8,-110,,,
Mar-16 20:19,Assisted Pull-ups,7,-110,,,
Mar-16 20:25,Assisted Pull-ups,7,-110,,,
Mar-16 20:30,Assisted Pull-ups,8,-120,,,
Mar-16 20:34,Machine Rows,10,70,,,
Mar-16 20:38,Machine Rows,13,70,,,
Mar-16 20:43,Machine Rows,9,80,,,
Mar-16 20:47,BB Bicep Curls,6,70,,,
Mar-16 20:49,BB Bicep Curls,7,80,,,
Mar-16 20:54,BB Bicep Curls,7,80,,,
Mar-17 20:46,Bench Press,5,150,,,
Mar-17 20:50,Bench Press,8,135,,,
Mar-17 20:54,Bench Press,7,135,,,
Mar-17 20:58,Bench Press,7,135,,,
Mar-17 21:00,Cable Flyes,10,65,,,
Mar-17 21:06,Cable Flyes,11,65,,,
Mar-17 21:10,Cable Flyes,9,65,,,
Mar-17 21:13,DB Lateral Raise,12,25,,,
Mar-17 21:16,DB Lateral Raise,12,25,,,
Mar-17 21:20,DB Lateral Raise,8,25,,,
Mar-17 21:23,Tricep Cable Extension,10,70,,,
Mar-17 21:26,Tricep Cable Extension,8,70,,,
Mar-17 21:29,Tricep Cable Extension,8,70,,,
Mar-19 16:56,Assisted Pull-ups,7,-110,,,
Mar-19 17:00,Assisted Pull-ups,6,-100,,,
Mar-19 17:04,Assisted Pull-ups,6,-100,,,
Mar-19 17:08,Assisted Pull-ups,6,-100,,,
Mar-19 17:11,Machine Front Pull Down,7,90,,,
Mar-19 17:16,Machine Front Pull Down,7,90,,,
Mar-19 17:20,Machine Front Pull Down,6,90,,,
Mar-19 17:24,Cable Rows (Close Grip),7,140,,,
Mar-19 17:31,Cable Rows (Close Grip),6,140,,,
Mar-19 17:36,Cable Rows (Close Grip),5,140,,,
Mar-19 17:38,BB Bicep Curls,8,80,,,
18:43,Bench Press,6,135,,,
Mar-20 18:47,Bench Press,8,135,,,
Mar-20 18:51,Bench Press,8,135,,,
Mar-20 18:56,Bench Press,8,135,,,
Mar-20 18:59,Cable Flyes,12,65,,,
Mar-20 19:03,Cable Flyes,12,70,,,
Mar-20 19:07,Cable Flyes,9,70,,,
Mar-20 19:09,DB Lateral Raise,12,25,,,
Mar-20 19:12,DB Lateral Raise,12,25,,,
Mar-20 19:18,DB Lateral Raise,10,25,,,
Mar-20 19:18,Tricep Cable Extension,12,65,,,
Mar-20 19:21,Tricep Cable Extension,9,72.5,,,
Mar-20 19:25,Tricep Cable Extension,7,72.5,,,
Mar-23 20:48,Assisted Pull-ups,7,-100,,,
Mar-23 20:52,Assisted Pull-ups,6,-100,,,
Mar-23 20:57,Assisted Pull-ups,7,-100,,,
Mar-23 21:01,Assisted Pull-ups,6,-100,,,
Mar-23 21:04,Machine Front Pull Down,7,90,,,
Mar-23 21:08,Machine Front Pull Down,7,90,,,
Mar-23 21:12,Machine Front Pull Down,7,90,,,
Mar-23 21:15,Machine Rows,10,80,,,
Mar-23 21:20,Machine Rows,9,80,,,
Mar-23 21:25,Machine Rows,7,80,,,
Mar-23 21:27,Preacher Curls,8,85,,,
Mar-23 21:30,Preacher Curls,8,85,,,
